premise,choice1,choice2,question,difficulty,answer,label,split,input,output,task,option1,option2,output_text,output_label,preds,choice,is_correct
The woman went into labor.,The baby was delivered.,The woman had morning sickness.,effect,hard,1,0,test,question: the woman went into labor. what is the most plausible effect? options: a) the baby was delivered b) the woman had morning sickness,the baby was delivered,copa,the baby was delivered,the woman had morning sickness,a) the baby was delivered,a,a) the baby was delivered,a,1
The man's hat blew away.,He took off the hat.,It was windy outside.,cause,hard,2,1,test,question: the man's hat blew away. what is the most plausible cause? options: a) he took off the hat b) it was windy outside,it was windy outside,copa,he took off the hat,it was windy outside,b) it was windy outside,b,b) it was windy outside,b,1
The girl attended her classmate's birthday party.,She received an invitation.,She bought a gift.,cause,easy,1,0,test,question: the girl attended her classmate's birthday party. what is the most plausible cause? options: a) she received an invitation b) she bought a gift,she received an invitation,copa,she received an invitation,she bought a gift,a) she received an invitation,a,a) she received an invitation,a,1
The boy's forehead felt hot.,His mother took his temperature.,His mother took him to the park.,effect,hard,1,0,test,question: the boy's forehead felt hot. what is the most plausible effect? options: a) his mother took his temperature b) his mother took him to the park,his mother took his temperature,copa,his mother took his temperature,his mother took him to the park,a) his mother took his temperature,a,a) his mother took his temperature,a,1
The man sprayed himself with cologne.,He wanted to impress his date.,He put gel in his hair.,cause,easy,1,0,test,question: the man sprayed himself with cologne. what is the most plausible cause? options: a) he wanted to impress his date b) he put gel in his hair,he wanted to impress his date,copa,he wanted to impress his date,he put gel in his hair,a) he wanted to impress his date,a,b) he put gel in his hair,b,0
The electricity in the house shut off.,I looked for a flashlight.,I picked up a shovel.,effect,hard,1,0,test,question: the electricity in the house shut off. what is the most plausible effect? options: a) i looked for a flashlight b) i picked up a shovel,i looked for a flashlight,copa,i looked for a flashlight,i picked up a shovel,a) i looked for a flashlight,a,b) i picked up a shovel,b,0
The family moved into a bigger house.,The son graduated from high school.,The mother gave birth to twins.,cause,hard,2,1,test,question: the family moved into a bigger house. what is the most plausible cause? options: a) the son graduated from high school b) the mother gave birth to twins,the mother gave birth to twins,copa,the son graduated from high school,the mother gave birth to twins,b) the mother gave birth to twins,b,b) the mother gave birth to twins,b,1
The marathoner kept at a slow pace.,She wanted to conserve her energy.,She saw the finish line.,cause,hard,1,0,test,question: the marathoner kept at a slow pace. what is the most plausible cause? options: a) she wanted to conserve her energy b) she saw the finish line,she wanted to conserve her energy,copa,she wanted to conserve her energy,she saw the finish line,a) she wanted to conserve her energy,a,a) she wanted to conserve her energy,a,1
The boy kicked the vending machine.,The machine spit out the change.,The bag of chips was stuck.,cause,hard,2,1,test,question: the boy kicked the vending machine. what is the most plausible cause? options: a) the machine spit out the change b) the bag of chips was stuck,the bag of chips was stuck,copa,the machine spit out the change,the bag of chips was stuck,b) the bag of chips was stuck,b,b) the bag of chips was stuck,b,1
My friend's dog died.,I rolled my eyes at him.,I gave him a hug.,effect,hard,2,1,test,question: my friend's dog died. what is the most plausible effect? options: a) i rolled my eyes at him b) i gave him a hug,i gave him a hug,copa,i rolled my eyes at him,i gave him a hug,b) i gave him a hug,b,b) i gave him a hug,b,1
The businessman's credit card got declined.,He wrote an IOU.,He paid with cash.,effect,hard,2,1,test,question: the businessman's credit card got declined. what is the most plausible effect? options: a) he wrote an iou b) he paid with cash,he paid with cash,copa,he wrote an iou,he paid with cash,b) he paid with cash,b,b) he paid with cash,b,1
The man cursed.,He clipped his nails.,He stubbed his toe.,cause,easy,2,1,test,question: the man cursed. what is the most plausible cause? options: a) he clipped his nails b) he stubbed his toe,he stubbed his toe,copa,he clipped his nails,he stubbed his toe,b) he stubbed his toe,b,b) he stubbed his toe,b,1
The man felt proud of his brother.,His brother got in an argument with their parents.,His brother got accepted into law school.,cause,hard,2,1,test,question: the man felt proud of his brother. what is the most plausible cause? options: a) his brother got in an argument with their parents b) his brother got accepted into law school,his brother got accepted into law school,copa,his brother got in an argument with their parents,his brother got accepted into law school,b) his brother got accepted into law school,b,b) his brother got accepted into law school,b,1
The girl wanted to learn about the solar system.,She went to the library.,She looked at the stars.,effect,easy,1,0,test,question: the girl wanted to learn about the solar system. what is the most plausible effect? options: a) she went to the library b) she looked at the stars,she went to the library,copa,she went to the library,she looked at the stars,a) she went to the library,a,b) she looked at the stars,b,0
The poster stuck to the wall.,I positioned the poster above the door.,I put tape on the back of the poster.,cause,hard,2,1,test,question: the poster stuck to the wall. what is the most plausible cause? options: a) i positioned the poster above the door b) i put tape on the back of the poster,i put tape on the back of the poster,copa,i positioned the poster above the door,i put tape on the back of the poster,b) i put tape on the back of the poster,b,b) i put tape on the back of the poster,b,1
The client approved the architect's plans for the building.,The architect constructed the building.,The architect adjusted the plans.,effect,hard,1,0,test,question: the client approved the architect's plans for the building. what is the most plausible effect? options: a) the architect constructed the building b) the architect adjusted the plans,the architect constructed the building,copa,the architect constructed the building,the architect adjusted the plans,a) the architect constructed the building,a,a) the architect constructed the building,a,1
The man dropped his spoon.,His hand was shaking.,He licked the spoon.,cause,hard,1,0,test,question: the man dropped his spoon. what is the most plausible cause? options: a) his hand was shaking b) he licked the spoon,his hand was shaking,copa,his hand was shaking,he licked the spoon,a) his hand was shaking,a,a) his hand was shaking,a,1
The CEO of the company resigned.,The board of directors dissolved the company.,The board of directors found his replacement.,effect,easy,2,1,test,question: the ceo of the company resigned. what is the most plausible effect? options: a) the board of directors dissolved the company b) the board of directors found his replacement,the board of directors found his replacement,copa,the board of directors dissolved the company,the board of directors found his replacement,b) the board of directors found his replacement,b,a) the board of directors dissolved the company,a,0
I arrived late to the lecture.,I took a seat in the back row.,I approached the podium.,effect,hard,1,0,test,question: i arrived late to the lecture. what is the most plausible effect? options: a) i took a seat in the back row b) i approached the podium,i took a seat in the back row,copa,i took a seat in the back row,i approached the podium,a) i took a seat in the back row,a,a) i took a seat in the back row,a,1
The man was released from jail.,His family paid his bail.,He attacked a fellow inmate.,cause,hard,1,0,test,question: the man was released from jail. what is the most plausible cause? options: a) his family paid his bail b) he attacked a fellow inmate,his family paid his bail,copa,his family paid his bail,he attacked a fellow inmate,a) his family paid his bail,a,a) his family paid his bail,a,1
The family lost all their belongings.,They sold their house.,Their house caught fire.,cause,easy,2,1,test,question: the family lost all their belongings. what is the most plausible cause? options: a) they sold their house b) their house caught fire,their house caught fire,copa,they sold their house,their house caught fire,b) their house caught fire,b,b) their house caught fire,b,1
I stomped on the aluminum can.,The can was recycled.,The can got crushed.,effect,easy,2,1,test,question: i stomped on the aluminum can. what is the most plausible effect? options: a) the can was recycled b) the can got crushed,the can got crushed,copa,the can was recycled,the can got crushed,b) the can got crushed,b,b) the can got crushed,b,1
The girl joined the debate team.,She learned to use a computer.,She learned communication skills.,effect,easy,2,1,test,question: the girl joined the debate team. what is the most plausible effect? options: a) she learned to use a computer b) she learned communication skills,she learned communication skills,copa,she learned to use a computer,she learned communication skills,b) she learned communication skills,b,b) she learned communication skills,b,1
My mood improved.,I listened to music.,I did the dishes.,cause,easy,1,0,test,question: my mood improved. what is the most plausible cause? options: a) i listened to music b) i did the dishes,i listened to music,copa,i listened to music,i did the dishes,a) i listened to music,a,a) i listened to music,a,1
The charity made a goal to raise money.,They fed the homeless.,They held an auction.,effect,easy,2,1,test,question: the charity made a goal to raise money. what is the most plausible effect? options: a) they fed the homeless b) they held an auction,they held an auction,copa,they fed the homeless,they held an auction,b) they held an auction,b,b) they held an auction,b,1
The roller coaster plunged down the steep drop.,The passengers giggled.,The passengers screamed.,effect,hard,2,1,test,question: the roller coaster plunged down the steep drop. what is the most plausible effect? options: a) the passengers giggled b) the passengers screamed,the passengers screamed,copa,the passengers giggled,the passengers screamed,b) the passengers screamed,b,b) the passengers screamed,b,1
I was furious.,I checked the mailbox upon leaving the house.,I slammed the door upon leaving the house.,effect,easy,2,1,test,question: i was furious. what is the most plausible effect? options: a) i checked the mailbox upon leaving the house b) i slammed the door upon leaving the house,i slammed the door upon leaving the house,copa,i checked the mailbox upon leaving the house,i slammed the door upon leaving the house,b) i slammed the door upon leaving the house,b,b) i slammed the door upon leaving the house,b,1
The man wanted to watch the sunrise.,He travelled north.,He got up early.,effect,easy,2,1,test,question: the man wanted to watch the sunrise. what is the most plausible effect? options: a) he travelled north b) he got up early,he got up early,copa,he travelled north,he got up early,b) he got up early,b,b) he got up early,b,1
I folded the paper.,I recycled the paper.,The paper creased.,effect,hard,2,1,test,question: i folded the paper. what is the most plausible effect? options: a) i recycled the paper b) the paper creased,the paper creased,copa,i recycled the paper,the paper creased,b) the paper creased,b,b) the paper creased,b,1
The nation endured a natural disaster.,Leaders of other countries formed an alliance.,Leaders of other countries sent emergency relief.,effect,hard,2,1,test,question: the nation endured a natural disaster. what is the most plausible effect? options: a) leaders of other countries formed an alliance b) leaders of other countries sent emergency relief,leaders of other countries sent emergency relief,copa,leaders of other countries formed an alliance,leaders of other countries sent emergency relief,b) leaders of other countries sent emergency relief,b,b) leaders of other countries sent emergency relief,b,1
The boy's clothes got soaked.,He climbed out of the pool.,He fell into the pool.,cause,easy,2,1,test,question: the boy's clothes got soaked. what is the most plausible cause? options: a) he climbed out of the pool b) he fell into the pool,he fell into the pool,copa,he climbed out of the pool,he fell into the pool,b) he fell into the pool,b,b) he fell into the pool,b,1
The student rushed to finish the book.,It was due to be returned to the library.,He borrowed it from a friend.,cause,easy,1,0,test,question: the student rushed to finish the book. what is the most plausible cause? options: a) it was due to be returned to the library b) he borrowed it from a friend,it was due to be returned to the library,copa,it was due to be returned to the library,he borrowed it from a friend,a) it was due to be returned to the library,a,b) he borrowed it from a friend,b,0
The criminal was executed.,He was thrown in jail.,He was convicted of murder.,cause,easy,2,1,test,question: the criminal was executed. what is the most plausible cause? options: a) he was thrown in jail b) he was convicted of murder,he was convicted of murder,copa,he was thrown in jail,he was convicted of murder,b) he was convicted of murder,b,b) he was convicted of murder,b,1
Sunlight entered the room.,I opened the curtains.,I unlocked the door.,cause,hard,1,0,test,question: sunlight entered the room. what is the most plausible cause? options: a) i opened the curtains b) i unlocked the door,i opened the curtains,copa,i opened the curtains,i unlocked the door,a) i opened the curtains,a,a) i opened the curtains,a,1
I yanked the imposter's hair.,Her wig came off.,She went bald.,effect,hard,1,0,test,question: i yanked the imposter's hair. what is the most plausible effect? options: a) her wig came off b) she went bald,her wig came off,copa,her wig came off,she went bald,a) her wig came off,a,a) her wig came off,a,1
The editor reworded a sentence in the manuscript.,He found the manuscript compelling.,He deemed the sentence unclear.,cause,easy,2,1,test,question: the editor reworded a sentence in the manuscript. what is the most plausible cause? options: a) he found the manuscript compelling b) he deemed the sentence unclear,he deemed the sentence unclear,copa,he found the manuscript compelling,he deemed the sentence unclear,b) he deemed the sentence unclear,b,a) he found the manuscript compelling,a,0
The woman cancelled her credit card account.,She realized the card was missing.,She realized the card was expired.,cause,hard,1,0,test,question: the woman cancelled her credit card account. what is the most plausible cause? options: a) she realized the card was missing b) she realized the card was expired,she realized the card was missing,copa,she realized the card was missing,she realized the card was expired,a) she realized the card was missing,a,b) she realized the card was expired,b,0
The man and woman fell in love.,They attended college.,They got married.,effect,easy,2,1,test,question: the man and woman fell in love. what is the most plausible effect? options: a) they attended college b) they got married,they got married,copa,they attended college,they got married,b) they got married,b,b) they got married,b,1
The music was too faint to hear.,I turned up the volume.,I composed my own song.,effect,easy,1,0,test,question: the music was too faint to hear. what is the most plausible effect? options: a) i turned up the volume b) i composed my own song,i turned up the volume,copa,i turned up the volume,i composed my own song,a) i turned up the volume,a,a) i turned up the volume,a,1
The boy's hair was sticking up.,The girl ruffled it.,The girl pulled it.,cause,hard,1,0,test,question: the boy's hair was sticking up. what is the most plausible cause? options: a) the girl ruffled it b) the girl pulled it,the girl ruffled it,copa,the girl ruffled it,the girl pulled it,a) the girl ruffled it,a,a) the girl ruffled it,a,1
The bug got squashed.,I sprayed myself with bug repellent.,I stepped on the bug.,cause,easy,2,1,test,question: the bug got squashed. what is the most plausible cause? options: a) i sprayed myself with bug repellent b) i stepped on the bug,i stepped on the bug,copa,i sprayed myself with bug repellent,i stepped on the bug,b) i stepped on the bug,b,b) i stepped on the bug,b,1
I opened my eyes.,I woke up.,I relaxed.,cause,easy,1,0,test,question: i opened my eyes. what is the most plausible cause? options: a) i woke up b) i relaxed,i woke up,copa,i woke up,i relaxed,a) i woke up,a,a) i woke up,a,1
My neighbor's music was blaring.,I asked him to turn it down.,I asked to borrow the CD from him.,effect,easy,1,0,test,question: my neighbor's music was blaring. what is the most plausible effect? options: a) i asked him to turn it down b) i asked to borrow the cd from him,i asked him to turn it down,copa,i asked him to turn it down,i asked to borrow the cd from him,a) i asked him to turn it down,a,a) i asked him to turn it down,a,1
The man's family lived in poverty.,He was frugal with his earnings.,He earned below minimum wage.,cause,easy,2,1,test,question: the man's family lived in poverty. what is the most plausible cause? options: a) he was frugal with his earnings b) he earned below minimum wage,he earned below minimum wage,copa,he was frugal with his earnings,he earned below minimum wage,b) he earned below minimum wage,b,b) he earned below minimum wage,b,1
The student graduated from the university.,He looked for a job.,He took up a hobby.,effect,hard,1,0,test,question: the student graduated from the university. what is the most plausible effect? options: a) he looked for a job b) he took up a hobby,he looked for a job,copa,he looked for a job,he took up a hobby,a) he looked for a job,a,a) he looked for a job,a,1
The artist mixed yellow paint into blue paint.,The paint splattered everywhere.,The paint turned green.,effect,hard,2,1,test,question: the artist mixed yellow paint into blue paint. what is the most plausible effect? options: a) the paint splattered everywhere b) the paint turned green,the paint turned green,copa,the paint splattered everywhere,the paint turned green,b) the paint turned green,b,b) the paint turned green,b,1
I changed the topic of conversation.,I ran out of things to talk about.,The conversation became tense.,cause,hard,2,1,test,question: i changed the topic of conversation. what is the most plausible cause? options: a) i ran out of things to talk about b) the conversation became tense,the conversation became tense,copa,i ran out of things to talk about,the conversation became tense,b) the conversation became tense,b,b) the conversation became tense,b,1
My brother was released from the hospital.,I welcomed him back home.,I gave him the cold shoulder.,effect,hard,1,0,test,question: my brother was released from the hospital. what is the most plausible effect? options: a) i welcomed him back home b) i gave him the cold shoulder,i welcomed him back home,copa,i welcomed him back home,i gave him the cold shoulder,a) i welcomed him back home,a,a) i welcomed him back home,a,1
The curtain on the stage went up.,The opening scene of the play began.,The actors in the play exited the stage.,effect,easy,1,0,test,question: the curtain on the stage went up. what is the most plausible effect? options: a) the opening scene of the play began b) the actors in the play exited the stage,the opening scene of the play began,copa,the opening scene of the play began,the actors in the play exited the stage,a) the opening scene of the play began,a,b) the actors in the play exited the stage,b,0
The hostage submitted to the kidnapper's mandates.,The kidnapper threatened to hurt the hostage.,The kidnapper left the hostage by himself.,cause,easy,1,0,test,question: the hostage submitted to the kidnapper's mandates. what is the most plausible cause? options: a) the kidnapper threatened to hurt the hostage b) the kidnapper left the hostage by himself,the kidnapper threatened to hurt the hostage,copa,the kidnapper threatened to hurt the hostage,the kidnapper left the hostage by himself,a) the kidnapper threatened to hurt the hostage,a,a) the kidnapper threatened to hurt the hostage,a,1
A boom reverberated across the stage.,The musician tapped his foot.,The musician pounded the drum.,cause,easy,2,1,test,question: a boom reverberated across the stage. what is the most plausible cause? options: a) the musician tapped his foot b) the musician pounded the drum,the musician pounded the drum,copa,the musician tapped his foot,the musician pounded the drum,b) the musician pounded the drum,b,b) the musician pounded the drum,b,1
The parents rushed to their child's bedroom.,The child awoke screaming from a nightmare.,The child was scared to look under her bed.,cause,hard,1,0,test,question: the parents rushed to their child's bedroom. what is the most plausible cause? options: a) the child awoke screaming from a nightmare b) the child was scared to look under her bed,the child awoke screaming from a nightmare,copa,the child awoke screaming from a nightmare,the child was scared to look under her bed,a) the child awoke screaming from a nightmare,a,a) the child awoke screaming from a nightmare,a,1
The woman communicated with sign language.,She was born premature.,She was born deaf.,cause,hard,2,1,test,question: the woman communicated with sign language. what is the most plausible cause? options: a) she was born premature b) she was born deaf,she was born deaf,copa,she was born premature,she was born deaf,b) she was born deaf,b,b) she was born deaf,b,1
A drought occurred in the region.,The water became contaminated.,The crops perished.,effect,hard,2,1,test,question: a drought occurred in the region. what is the most plausible effect? options: a) the water became contaminated b) the crops perished,the crops perished,copa,the water became contaminated,the crops perished,b) the crops perished,b,b) the crops perished,b,1
The cat chased the bird.,The bird flew away.,The bird caught a worm.,effect,easy,1,0,test,question: the cat chased the bird. what is the most plausible effect? options: a) the bird flew away b) the bird caught a worm,the bird flew away,copa,the bird flew away,the bird caught a worm,a) the bird flew away,a,a) the bird flew away,a,1
The girl switched schools.,School let out for the summer.,She moved to a new town.,cause,hard,2,1,test,question: the girl switched schools. what is the most plausible cause? options: a) school let out for the summer b) she moved to a new town,she moved to a new town,copa,school let out for the summer,she moved to a new town,b) she moved to a new town,b,b) she moved to a new town,b,1
The factory owner refused to raise employees' wages.,The owner appointed a new manager.,The employees went on strike.,effect,hard,2,1,test,question: the factory owner refused to raise employees' wages. what is the most plausible effect? options: a) the owner appointed a new manager b) the employees went on strike,the employees went on strike,copa,the owner appointed a new manager,the employees went on strike,b) the employees went on strike,b,b) the employees went on strike,b,1
The leader antagonized the extremists among his country.,The extremists influenced him.,The extremists assassinated him.,effect,easy,2,1,test,question: the leader antagonized the extremists among his country. what is the most plausible effect? options: a) the extremists influenced him b) the extremists assassinated him,the extremists assassinated him,copa,the extremists influenced him,the extremists assassinated him,b) the extremists assassinated him,b,a) the extremists influenced him,a,0
I walked barefoot on the beach.,Sand stuck to my feet.,Waves crashed along the shore.,effect,hard,1,0,test,question: i walked barefoot on the beach. what is the most plausible effect? options: a) sand stuck to my feet b) waves crashed along the shore,sand stuck to my feet,copa,sand stuck to my feet,waves crashed along the shore,a) sand stuck to my feet,a,a) sand stuck to my feet,a,1
I woke up in the middle of the night feeling cold.,I put sweatpants on.,I drank a glass of water.,effect,hard,1,0,test,question: i woke up in the middle of the night feeling cold. what is the most plausible effect? options: a) i put sweatpants on b) i drank a glass of water,i put sweatpants on,copa,i put sweatpants on,i drank a glass of water,a) i put sweatpants on,a,b) i drank a glass of water,b,0
The mother hushed her son.,Her son smirked.,Her son whined.,cause,hard,2,1,test,question: the mother hushed her son. what is the most plausible cause? options: a) her son smirked b) her son whined,her son whined,copa,her son smirked,her son whined,b) her son whined,b,b) her son whined,b,1
A hole ripped in my jeans.,I zipped up the jeans.,I tripped on the pavement.,cause,easy,2,1,test,question: a hole ripped in my jeans. what is the most plausible cause? options: a) i zipped up the jeans b) i tripped on the pavement,i tripped on the pavement,copa,i zipped up the jeans,i tripped on the pavement,b) i tripped on the pavement,b,b) i tripped on the pavement,b,1
The boy wore braces.,He got a cavity.,His teeth became straight.,effect,hard,2,1,test,question: the boy wore braces. what is the most plausible effect? options: a) he got a cavity b) his teeth became straight,his teeth became straight,copa,he got a cavity,his teeth became straight,b) his teeth became straight,b,b) his teeth became straight,b,1
I worked out at the gym yesterday.,I woke up today with sore muscles.,I woke up today with a sore throat.,effect,hard,1,0,test,question: i worked out at the gym yesterday. what is the most plausible effect? options: a) i woke up today with sore muscles b) i woke up today with a sore throat,i woke up today with sore muscles,copa,i woke up today with sore muscles,i woke up today with a sore throat,a) i woke up today with sore muscles,a,a) i woke up today with sore muscles,a,1
The girl whispered back and forth to each other at the lunch table.,Other students sat down at the lunch table.,Other students at the lunch table felt left out.,effect,easy,2,1,test,question: the girl whispered back and forth to each other at the lunch table. what is the most plausible effect? options: a) other students sat down at the lunch table b) other students at the lunch table felt left out,other students at the lunch table felt left out,copa,other students sat down at the lunch table,other students at the lunch table felt left out,b) other students at the lunch table felt left out,b,b) other students at the lunch table felt left out,b,1
The child landed on the trampoline.,She sprung back up into the air.,She decided to try to do a flip.,effect,hard,1,0,test,question: the child landed on the trampoline. what is the most plausible effect? options: a) she sprung back up into the air b) she decided to try to do a flip,she sprung back up into the air,copa,she sprung back up into the air,she decided to try to do a flip,a) she sprung back up into the air,a,b) she decided to try to do a flip,b,0
I deposited the letter in the mailbox.,The post office delivered the letter.,The post office expedited the letter.,effect,hard,1,0,test,question: i deposited the letter in the mailbox. what is the most plausible effect? options: a) the post office delivered the letter b) the post office expedited the letter,the post office delivered the letter,copa,the post office delivered the letter,the post office expedited the letter,a) the post office delivered the letter,a,a) the post office delivered the letter,a,1
The gambler was confident.,He bet all of his money.,He went home broke.,effect,hard,1,0,test,question: the gambler was confident. what is the most plausible effect? options: a) he bet all of his money b) he went home broke,he bet all of his money,copa,he bet all of his money,he went home broke,a) he bet all of his money,a,a) he bet all of his money,a,1
The forest fire spread.,The winds became stronger.,The arsonists were apprehended.,cause,hard,1,0,test,question: the forest fire spread. what is the most plausible cause? options: a) the winds became stronger b) the arsonists were apprehended,the winds became stronger,copa,the winds became stronger,the arsonists were apprehended,a) the winds became stronger,a,b) the arsonists were apprehended,b,0
The child skinned his knee.,His mother sent him to his room.,His mother put a bandage on the wound.,effect,easy,2,1,test,question: the child skinned his knee. what is the most plausible effect? options: a) his mother sent him to his room b) his mother put a bandage on the wound,his mother put a bandage on the wound,copa,his mother sent him to his room,his mother put a bandage on the wound,b) his mother put a bandage on the wound,b,b) his mother put a bandage on the wound,b,1
The man survived the deadly illness.,He signed his will.,He received an organ transplant.,cause,easy,2,1,test,question: the man survived the deadly illness. what is the most plausible cause? options: a) he signed his will b) he received an organ transplant,he received an organ transplant,copa,he signed his will,he received an organ transplant,b) he received an organ transplant,b,b) he received an organ transplant,b,1
I took a sip of the scalding coffee.,I bit my tongue.,I burnt my tongue.,effect,easy,2,1,test,question: i took a sip of the scalding coffee. what is the most plausible effect? options: a) i bit my tongue b) i burnt my tongue,i burnt my tongue,copa,i bit my tongue,i burnt my tongue,b) i burnt my tongue,b,b) i burnt my tongue,b,1
The editor fired the writer.,The writer avoided bias in her stories.,The writer missed an important deadline.,cause,easy,2,1,test,question: the editor fired the writer. what is the most plausible cause? options: a) the writer avoided bias in her stories b) the writer missed an important deadline,the writer missed an important deadline,copa,the writer avoided bias in her stories,the writer missed an important deadline,b) the writer missed an important deadline,b,b) the writer missed an important deadline,b,1
I felt exhausted.,I slept all day.,I studied all day.,cause,hard,2,1,test,question: i felt exhausted. what is the most plausible cause? options: a) i slept all day b) i studied all day,i studied all day,copa,i slept all day,i studied all day,b) i studied all day,b,a) i slept all day,a,0
The physician diagnosed the patient.,She identified the patient's symptoms.,She prescribed pills to the patient.,cause,easy,1,0,test,question: the physician diagnosed the patient. what is the most plausible cause? options: a) she identified the patients symptoms b) she prescribed pills to the patient,she identified the patients symptoms,copa,she identified the patients symptoms,she prescribed pills to the patient,a) she identified the patients symptoms,a,a) she identified the patients symptoms,a,1
I scratched my skin.,It was sweaty.,It felt itchy.,cause,easy,2,1,test,question: i scratched my skin. what is the most plausible cause? options: a) it was sweaty b) it felt itchy,it felt itchy,copa,it was sweaty,it felt itchy,b) it felt itchy,b,b) it felt itchy,b,1
The man underwent emergency surgery.,He lost his temper.,He suffered a heart attack.,cause,easy,2,1,test,question: the man underwent emergency surgery. what is the most plausible cause? options: a) he lost his temper b) he suffered a heart attack,he suffered a heart attack,copa,he lost his temper,he suffered a heart attack,b) he suffered a heart attack,b,b) he suffered a heart attack,b,1
The man's arm muscles bulged.,He flexed his arms.,He rubbed his arms.,cause,easy,1,0,test,question: the man's arm muscles bulged. what is the most plausible cause? options: a) he flexed his arms b) he rubbed his arms,he flexed his arms,copa,he flexed his arms,he rubbed his arms,a) he flexed his arms,a,a) he flexed his arms,a,1
The man raised his eyebrows.,He was surprised.,He felt discouraged.,cause,easy,1,0,test,question: the man raised his eyebrows. what is the most plausible cause? options: a) he was surprised b) he felt discouraged,he was surprised,copa,he was surprised,he felt discouraged,a) he was surprised,a,a) he was surprised,a,1
I excused my colleague's blunder.,I believed his intentions were good.,I believed that he knew better.,cause,hard,1,0,test,question: i excused my colleague's blunder. what is the most plausible cause? options: a) i believed his intentions were good b) i believed that he knew better,i believed his intentions were good,copa,i believed his intentions were good,i believed that he knew better,a) i believed his intentions were good,a,a) i believed his intentions were good,a,1
The man quit smoking.,He began exercising more.,He started waking up earlier.,effect,hard,1,0,test,question: the man quit smoking. what is the most plausible effect? options: a) he began exercising more b) he started waking up earlier,he began exercising more,copa,he began exercising more,he started waking up earlier,a) he began exercising more,a,a) he began exercising more,a,1
The woman punched her attacker in the nose.,The attacker's body went lifeless.,The attacker started to bleed.,effect,easy,2,1,test,question: the woman punched her attacker in the nose. what is the most plausible effect? options: a) the attackers body went lifeless b) the attacker started to bleed,the attacker started to bleed,copa,the attackers body went lifeless,the attacker started to bleed,b) the attacker started to bleed,b,b) the attacker started to bleed,b,1
The dart missed the bull's eye.,The man's aim was off.,The man was losing the game.,cause,hard,1,0,test,question: the dart missed the bull's eye. what is the most plausible cause? options: a) the mans aim was off b) the man was losing the game,the mans aim was off,copa,the mans aim was off,the man was losing the game,a) the mans aim was off,a,a) the mans aim was off,a,1
The homeowner requested that an exterminator come to his house.,He discovered rats in the basement.,He kept an ant farm in his room.,cause,easy,1,0,test,question: the homeowner requested that an exterminator come to his house. what is the most plausible cause? options: a) he discovered rats in the basement b) he kept an ant farm in his room,he discovered rats in the basement,copa,he discovered rats in the basement,he kept an ant farm in his room,a) he discovered rats in the basement,a,a) he discovered rats in the basement,a,1
I suggested to my houseguest that we go out to dinner.,I was too tired to prepare anything.,My houseguest overstayed her welcome.,cause,hard,1,0,test,question: i suggested to my houseguest that we go out to dinner. what is the most plausible cause? options: a) i was too tired to prepare anything b) my houseguest overstayed her welcome,i was too tired to prepare anything,copa,i was too tired to prepare anything,my houseguest overstayed her welcome,a) i was too tired to prepare anything,a,b) my houseguest overstayed her welcome,b,0
The girl caught her brother reading her diary.,She started hiding the diary.,She got a new diary.,effect,hard,1,0,test,question: the girl caught her brother reading her diary. what is the most plausible effect? options: a) she started hiding the diary b) she got a new diary,she started hiding the diary,copa,she started hiding the diary,she got a new diary,a) she started hiding the diary,a,a) she started hiding the diary,a,1
The woman was short on money for rent.,She worked overtime.,She quit her job.,effect,hard,1,0,test,question: the woman was short on money for rent. what is the most plausible effect? options: a) she worked overtime b) she quit her job,she worked overtime,copa,she worked overtime,she quit her job,a) she worked overtime,a,a) she worked overtime,a,1
The child's hand quickly recoiled.,He touched the hot stove.,He patted the puppy's head.,cause,hard,1,0,test,question: the child's hand quickly recoiled. what is the most plausible cause? options: a) he touched the hot stove b) he patted the puppys head,he touched the hot stove,copa,he touched the hot stove,he patted the puppys head,a) he touched the hot stove,a,a) he touched the hot stove,a,1
The company wanted to gauge customer satisfaction.,They offered a discount to new customers.,They distributed a survey to customers.,effect,hard,2,1,test,question: the company wanted to gauge customer satisfaction. what is the most plausible effect? options: a) they offered a discount to new customers b) they distributed a survey to customers,they distributed a survey to customers,copa,they offered a discount to new customers,they distributed a survey to customers,b) they distributed a survey to customers,b,b) they distributed a survey to customers,b,1
The wood floor became scratched.,The boy threw the cushions off the couch.,The boy dragged a chair across the floor.,cause,hard,2,1,test,question: the wood floor became scratched. what is the most plausible cause? options: a) the boy threw the cushions off the couch b) the boy dragged a chair across the floor,the boy dragged a chair across the floor,copa,the boy threw the cushions off the couch,the boy dragged a chair across the floor,b) the boy dragged a chair across the floor,b,b) the boy dragged a chair across the floor,b,1
I shielded my face.,My enemy taunted me.,My enemy cocked a fist.,cause,hard,2,1,test,question: i shielded my face. what is the most plausible cause? options: a) my enemy taunted me b) my enemy cocked a fist,my enemy cocked a fist,copa,my enemy taunted me,my enemy cocked a fist,b) my enemy cocked a fist,b,a) my enemy taunted me,a,0
The famous statue burned down.,It was struck by lightning.,People came to venerate it.,cause,easy,1,0,test,question: the famous statue burned down. what is the most plausible cause? options: a) it was struck by lightning b) people came to venerate it,it was struck by lightning,copa,it was struck by lightning,people came to venerate it,a) it was struck by lightning,a,a) it was struck by lightning,a,1
